SEQUNT20,YEAR,PSTATABB,PNAME,ORISPL,UNITID
1,2020,AK,7-Mile Ridge Wind Project,60814,WT1
2,2020,AK,Agrium Kenai Nitrogen Operations,54452,644A
3,2020,AK,Agrium Kenai Nitrogen Operations,54452,644B
4,2020,AK,Agrium Kenai Nitrogen Operations,54452,644C
5,2020,AK,Agrium Kenai Nitrogen Operations,54452,644D
6,2020,AK,Agrium Kenai Nitrogen Operations,54452,644E
7,2020,AK,Agrium Kenai Nitrogen Operations,54452,644F
8,2020,AK,Agrium Kenai Nitrogen Operations,54452,644G
9,2020,AK,Agrium Kenai Nitrogen Operations,54452,744A
10,2020,AK,Agrium Kenai Nitrogen Operations,54452,744B